mondo id	mondo label	phenotypes to high-level hpo	histopheno	of body system or component	of developmental or physiological process	of etiologic mechanism	of genetic or genomic mechanism	of primarily extrinsic mechanism	of molecular mechanism
MONDO:0012454	alcohol sensitivity, acute	Abnormality of metabolism/homeostasis; Abnormality of the integument	integument; metabolism_homeostasis		psychiatric disorder		hereditary disease		
MONDO:0007184	alopecia, androgenetic, 1	Abnormality of the integument	integument	integumentary system disorder			hereditary disease		
MONDO:0013282	alpha 1-antitrypsin deficiency	Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of metabolism/homeostasis; Abnormality of the cardiovascular system; Abnormality of the immune system	digestive_system; respiratory; endocrine; metabolism_homeostasis; blood; immune_system; integument; neoplasm; musculature; connective_tissue; growth	syndromic disease; respiratory system disorder	metabolic disease		hereditary disease		
MONDO:0010602	hemophilia A	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	blood; musculature; skeletal_system; nervous_system; integument; digestive_system; head_neck; metabolism_homeostasis; genitourinary_system; respiratory; connective_tissue; immune_system; prenatal_or_birth	hematologic disorder			hereditary disease		
MONDO:0011382	sickle cell disease	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	blood; digestive_system; immune_system; endocrine; nervous_system; genitourinary_system; head_neck; eye; metabolism_homeostasis; musculature; skeletal_system; integument; respiratory	hematologic disorder			hereditary disease		
MONDO:0010382	fragile X-associated tremor/ataxia syndrome	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of the endocrine system; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	nervous_system; musculature; genitourinary_system; head_neck; digestive_system; eye; endocrine; ear	syndromic disease; nervous system disorder			hereditary disease		
MONDO:0008056	myotonic dystrophy type 1	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of prenatal development or birth; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	nervous_system; musculature; head_neck; digestive_system; endocrine; eye; genitourinary_system; prenatal_or_birth; neoplasm; respiratory; metabolism_homeostasis; integument; blood; skeletal_system; growth	musculoskeletal system disorder; syndromic disease; cardiovascular disorder; nervous system disorder			hereditary disease		
MONDO:0018975	neurofibromatosis type 1	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; head_neck; neoplasm; musculature; skeletal_system; integument; eye; digestive_system; growth; endocrine; genitourinary_system; respiratory; blood; ear; immune_system; connective_tissue; breast; metabolism_homeostasis	syndromic disease; nervous system disorder	disorder of development or morphogenesis	cancer or benign tumor	hereditary disease; inherited disease susceptibility		RASopathy
MONDO:0008087	hereditary neuropathy with liability to pressure palsies	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of the voice; Abnormality of the ear; Constitutional symptom	nervous_system; musculature; respiratory; skeletal_system; head_neck; digestive_system; ear	nervous system disorder			hereditary disease; chromosomal disorder		
MONDO:0008294	acute intermittent porphyria	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the voice; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of the cardiovascular system	nervous_system; digestive_system; genitourinary_system; musculature; metabolism_homeostasis; respiratory; integument; neoplasm; blood; endocrine; skeletal_system; head_neck; growth	integumentary system disorder; digestive system disorder; endocrine system disorder	metabolic disease		hereditary disease		
MONDO:0009861	phenylketonuria	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; head_neck; musculature; skeletal_system; integument; metabolism_homeostasis; eye; genitourinary_system; digestive_system; blood; immune_system; growth; ear		metabolic disease		hereditary disease		
MONDO:0008564	DiGeorge syndrome	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the voice; Abnormality of the respiratory system; Abnormal cellular phenotype; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; digestive_system; musculature; immune_system; nervous_system; skeletal_system; eye; blood; endocrine; genitourinary_system; respiratory; metabolism_homeostasis; ear; connective_tissue; integument; growth	cardiovascular disorder; immune system disorder; nervous system disorder	disorder of development or morphogenesis		hereditary disease; chromosomal disorder		
MONDO:0012933	breast-ovarian cancer, familial, susceptibility to, 2	Neoplasm; Abnormality of the breast; Abnormality of the genitourinary system	neoplasm; genitourinary_system; breast	syndromic disease		cancer or benign tumor	hereditary disease; inherited disease susceptibility		
MONDO:0011450	breast-ovarian cancer, familial, susceptibility to, 1	Neoplasm; Abnormality of the breast; Abnormality of the genitourinary system	neoplasm; genitourinary_system; breast	syndromic disease		cancer or benign tumor	hereditary disease; inherited disease susceptibility		
MONDO:0008678	Williams syndrome	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the voice; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; nervous_system; musculature; skeletal_system; digestive_system; genitourinary_system; eye; integument; metabolism_homeostasis; endocrine; ear; growth; immune_system; connective_tissue; blood; respiratory; prenatal_or_birth	syndromic disease; nervous system disorder			chromosomal disorder		
MONDO:0007523	Ehlers-Danlos syndrome, hypermobility type	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	musculature; skeletal_system; digestive_system; head_neck; integument; nervous_system; connective_tissue; eye; genitourinary_system; blood; respiratory; immune_system; ear	syndromic disease	disorder of development or morphogenesis		hereditary disease		
MONDO:0007947	Marfan syndrome	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	head_neck; musculature; skeletal_system; eye; digestive_system; nervous_system; respiratory; connective_tissue; growth; integument; ear; genitourinary_system; blood	musculoskeletal system disorder; syndromic disease; connective tissue disorder			hereditary disease		
MONDO:0007810	autosomal dominant ichthyosis vulgaris	Abnormality of limbs; Abnormality of the respiratory system; Abnormality of the immune system; Abnormality of the integument	integument; immune_system; respiratory	integumentary system disorder			hereditary disease		
MONDO:0009249	hereditary fructose intolerance	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of the cardiovascular system; Abnormality of the eye	metabolism_homeostasis; digestive_system; blood; genitourinary_system; endocrine; nervous_system; integument; growth; head_neck; eye		metabolic disease		hereditary disease		
MONDO:0008721	medium chain acyl-CoA dehydrogenase deficiency	Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system	metabolism_homeostasis; nervous_system; musculature; digestive_system; endocrine; blood; genitourinary_system; skeletal_system; head_neck; respiratory; connective_tissue; growth		metabolic disease		hereditary disease		
MONDO:0010526	Fabry disease	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	nervous_system; metabolism_homeostasis; head_neck; genitourinary_system; digestive_system; integument; musculature; eye; blood; respiratory; ear; skeletal_system; endocrine; growth; immune_system		metabolic disease; disorder of development or morphogenesis		hereditary disease		
MONDO:0010775	retinitis pigmentosa-deafness syndrome	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye		syndromic disease			hereditary disease		
MONDO:0007452	maturity-onset diabetes of the young type 1	Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the integument	integument; metabolism_homeostasis; endocrine	digestive system disorder; endocrine system disorder	metabolic disease		hereditary disease		
MONDO:0007453	maturity-onset diabetes of the young type 2	Abnormality of the endocrine system; Abnormality of metabolism/homeostasis	metabolism_homeostasis; endocrine	digestive system disorder; endocrine system disorder	metabolic disease		hereditary disease		
MONDO:0007534	Beckwith-Wiedemann syndrome	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; digestive_system; genitourinary_system; musculature; neoplasm; skeletal_system; endocrine; nervous_system; blood; ear; growth; metabolism_homeostasis; prenatal_or_birth; integument; connective_tissue; eye; immune_system; respiratory	musculoskeletal system disorder; syndromic disease; cardiovascular disorder	disorder of development or morphogenesis	cancer or benign tumor	hereditary disease; inherited disease susceptibility		
MONDO:0007037	achondroplasia	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of the ear; Abnormality of head or neck; Abnormality of the immune system	skeletal_system; musculature; head_neck; nervous_system; growth; respiratory; ear; blood; digestive_system; prenatal_or_birth; integument; immune_system	musculoskeletal system disorder	disorder of development or morphogenesis		hereditary disease		
MONDO:0007215	brachydactyly type A1	Abnormality of limbs; Growth abnormality; Abnormality of the musculoskeletal system	skeletal_system; musculature; growth	musculoskeletal system disorder	disorder of development or morphogenesis		hereditary disease		
MONDO:0008698	achalasia	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	digestive_system; respiratory; musculature; head_neck; immune_system; skeletal_system; nervous_system; eye; metabolism_homeostasis; blood; growth	digestive system disorder; upper digestive tract disorder					
MONDO:0011929	chromosome 1p36 deletion syndrome	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; nervous_system; musculature; skeletal_system; digestive_system; eye; genitourinary_system; ear; integument; endocrine; growth; connective_tissue; blood; immune_system; metabolism_homeostasis; neoplasm; respiratory				chromosomal disorder		
MONDO:0029141	Usher syndrome, type 4	Abnormality of the eye; Abnormality of the ear	head_neck; eye; nervous_system; ear	syndromic disease			hereditary disease		
MONDO:0010383	fragile X syndrome	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; head_neck; skeletal_system; musculature; ear; digestive_system; genitourinary_system; immune_system; metabolism_homeostasis; eye; respiratory	syndromic disease			hereditary disease		
MONDO:0018874	acute myeloid leukemia	Neoplasm; Abnormality of the immune system; Abnormality of blood and blood-forming tissues	blood; immune_system; digestive_system; head_neck; neoplasm; integument; metabolism_homeostasis; respiratory; skeletal_system; musculature; nervous_system; genitourinary_system; growth; ear; endocrine	musculoskeletal system disorder; connective tissue disorder; immune system disorder; hematologic disorder		cancer or benign tumor			
MONDO:0018160	hereditary retinoblastoma	Abnormality of the nervous system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; neoplasm; eye; nervous_system; blood; skeletal_system; musculature; connective_tissue; digestive_system; immune_system	disorder of orbital region; syndromic disease; nervous system disorder; disorder of visual system		cancer or benign tumor	hereditary disease; inherited disease susceptibility		
MONDO:0001347	facioscapulohumeral muscular dystrophy	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	musculature; head_neck; nervous_system; skeletal_system; eye; digestive_system; respiratory; immune_system; ear; metabolism_homeostasis; blood; integument; growth	musculoskeletal system disorder; nervous system disorder			hereditary disease		
MONDO:0001734	tuberous sclerosis	Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; neoplasm; integument; head_neck; genitourinary_system; musculature; digestive_system; endocrine; respiratory; eye; skeletal_system; immune_system; connective_tissue; blood; metabolism_homeostasis; ear	syndromic disease; nervous system disorder		cancer or benign tumor	hereditary disease; inherited disease susceptibility		
MONDO:0001909	renal tubular acidosis	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	metabolism_homeostasis; genitourinary_system; head_neck; skeletal_system; musculature; growth; eye; blood; nervous_system; digestive_system; ear; connective_tissue		metabolic disease				
MONDO:0002442	long QT syndrome	Abnormality of the cardiovascular system	head_neck; skeletal_system; musculature; digestive_system; nervous_system; ear; metabolism_homeostasis; blood; respiratory; prenatal_or_birth; growth; immune_system; endocrine; integument; eye; genitourinary_system; connective_tissue	syndromic disease					
MONDO:0004976	amyotrophic lateral sclerosis	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the voice; Abnormality of the musculoskeletal system; Constitutional symptom; Abnormality of head or neck	nervous_system; musculature; head_neck; digestive_system; eye; respiratory; skeletal_system; genitourinary_system; growth; metabolism_homeostasis; connective_tissue; blood; ear	nervous system disorder					
MONDO:0005152	hypopituitarism	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	endocrine; nervous_system; head_neck; blood; growth; musculature; skeletal_system; genitourinary_system; digestive_system; metabolism_homeostasis; eye; immune_system; integument; ear; breast; respiratory; neoplasm	reproductive system disorder; nervous system disorder; endocrine system disorder					
MONDO:0005361	eosinophilic esophagitis	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	digestive_system; immune_system; nervous_system; blood; growth	digestive system disorder; upper digestive tract disorder					
MONDO:0005388	primary biliary cholangitis	Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Neoplasm; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	digestive_system; endocrine; immune_system; metabolism_homeostasis; blood; integument; nervous_system; skeletal_system; head_neck; neoplasm; musculature; growth	digestive system disorder; endocrine system disorder	premature aging syndrome		hereditary disease		
MONDO:0005835	Lynch syndrome	Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	neoplasm; nervous_system; digestive_system; genitourinary_system; head_neck; endocrine; musculature; integument; eye; skeletal_system; blood; respiratory; connective_tissue; growth; breast	syndromic disease; digestive system disorder		cancer or benign tumor	hereditary disease; inherited disease susceptibility		
MONDO:0006507	hereditary hemochromatosis	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	metabolism_homeostasis; endocrine; digestive_system; blood; genitourinary_system; musculature; integument; skeletal_system; immune_system; head_neck; neoplasm; nervous_system; prenatal_or_birth; eye; respiratory; growth; breast		metabolic disease		hereditary disease		
MONDO:0006823	Klinefelter syndrome	Abnormality of the genitourinary system	genitourinary_system	reproductive system disorder; endocrine system disorder	disorder of development or morphogenesis		chromosomal disorder		
MONDO:0006835	lipoid nephrosis	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye							
MONDO:0007488	Lewy body dementia	Abnormality of the nervous system	nervous_system	nervous system disorder	psychiatric disorder; metabolic disease				synucleinopathy; proteostasis deficiencies
MONDO:0007915	systemic lupus erythematosus	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	immune_system; blood; integument; nervous_system; digestive_system; metabolism_homeostasis; genitourinary_system; musculature; head_neck; skeletal_system; endocrine; respiratory; eye; growth	connective tissue disorder; immune system disorder					
MONDO:0008585	HELLP syndrome	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of the cardiovascular system	blood; metabolism_homeostasis; digestive_system; genitourinary_system; nervous_system; respiratory; growth; skeletal_system; integument; endocrine; musculature; prenatal_or_birth	syndromic disease; cardiovascular disorder	obstetric disorder		hereditary disease		
MONDO:0009688	myasthenia gravis	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the voice; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	immune_system; musculature; nervous_system; head_neck; endocrine; blood; eye; digestive_system; neoplasm; metabolism_homeostasis; respiratory; skeletal_system; integument; genitourinary_system; ear	immune system disorder; nervous system disorder					
MONDO:0009891	acquired polycythemia vera	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	blood; digestive_system; immune_system; nervous_system; head_neck; endocrine; respiratory; skeletal_system; integument; neoplasm; ear; eye; growth	musculoskeletal system disorder; connective tissue disorder; immune system disorder; hematologic disorder		cancer or benign tumor	hereditary disease		
MONDO:0009948	pyropoikilocytosis, hereditary	Abnormality of blood and blood-forming tissues	blood				hereditary disease		
MONDO:0010604	hemophilia B	Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system	blood; musculature; skeletal_system; integument; genitourinary_system; digestive_system; head_neck; metabolism_homeostasis; respiratory; nervous_system; prenatal_or_birth	hematologic disorder			hereditary disease		
MONDO:0011429	juvenile idiopathic arthritis	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	musculature; skeletal_system; immune_system; head_neck; eye; metabolism_homeostasis; integument; digestive_system; blood; connective_tissue; growth; genitourinary_system; endocrine; respiratory	musculoskeletal system disorder; connective tissue disorder		idiopathic disease			
MONDO:0011996	chronic myelogenous leukemia, BCR-ABL1 positive	Abnormality of the digestive system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the cardiovascular system; Abnormality of the immune system	blood; immune_system; neoplasm; metabolism_homeostasis; digestive_system	musculoskeletal system disorder; connective tissue disorder; immune system disorder; hematologic disorder		cancer or benign tumor	hereditary disease		
MONDO:0015104	porphyria cutanea tarda	Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the immune system; Abnormality of the eye	integument; metabolism_homeostasis; digestive_system; head_neck; endocrine; blood; immune_system; genitourinary_system; musculature; eye; connective_tissue; skeletal_system; nervous_system; neoplasm; prenatal_or_birth	integumentary system disorder; digestive system disorder; endocrine system disorder	metabolic disease				
MONDO:0015129	chronic primary adrenal insufficiency	Abnormality of the nervous system; Abnormality of the respiratory system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis	endocrine; blood; genitourinary_system; metabolism_homeostasis; musculature; nervous_system; skeletal_system; head_neck; digestive_system; integument; growth; immune_system; eye; ear; neoplasm; respiratory; breast; prenatal_or_birth; connective_tissue	endocrine system disorder					
MONDO:0015517	common variable immunodeficiency	Abnormal cellular phenotype; Abnormality of metabolism/homeostasis; Abnormality of the immune system; Abnormality of blood and blood-forming tissues	immune_system; blood; digestive_system; metabolism_homeostasis; respiratory; head_neck; integument; endocrine; skeletal_system; musculature; nervous_system; genitourinary_system; ear; eye; neoplasm; growth; prenatal_or_birth	syndromic disease; immune system disorder; hematologic disorder			hereditary disease		
MONDO:0015924	pulmonary arterial hypertension	Abnormality of limbs; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the cardiovascular system	respiratory; digestive_system; blood; metabolism_homeostasis; musculature; nervous_system; integument; endocrine; growth; skeletal_system; head_neck; immune_system; genitourinary_system; neoplasm; ear; connective_tissue; prenatal_or_birth	cardiovascular disorder					
MONDO:0016218	Guillain-Barre syndrome	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; musculature; digestive_system; head_neck; skeletal_system; metabolism_homeostasis; genitourinary_system; immune_system; respiratory	syndromic disease; immune system disorder; nervous system disorder					
