mondo id	mondo label	phenotypes to high-level hpo	histopheno	of body system or component	of developmental or physiological process	of etiologic mechanism	of genetic or genomic mechanism	of primarily extrinsic mechanism	of molecular mechanism
MONDO:0012839	pyogenic bacterial infections due to MyD88 deficiency	Abnormality of the nervous system; Abnormality of the integument; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; blood; skeletal_system; nervous_system; integument; musculature; prenatal_or_birth	immune system disorder			hereditary disease		
MONDO:0014160	TCR-alpha-beta-positive T-cell deficiency	Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; digestive_system; blood; integument; head_neck; metabolism_homeostasis; endocrine; respiratory; ear; growth	immune system disorder			hereditary disease		
MONDO:0033542	immunodeficiency 70	Abnormality of limbs; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	immune_system; blood; integument; metabolism_homeostasis; digestive_system; head_neck; musculature; skeletal_system; nervous_system; eye; neoplasm; respiratory	immune system disorder			hereditary disease		
MONDO:0060583	platelet abnormalities with eosinophilia and immune-mediated inflammatory disease	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	immune_system; blood; digestive_system; head_neck; integument; eye; metabolism_homeostasis; nervous_system; musculature; respiratory; connective_tissue; growth				hereditary disease		
MONDO:0033551	immunodeficiency 72 with autoinflammation	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; blood; metabolism_homeostasis; digestive_system; skeletal_system; nervous_system; head_neck; integument; endocrine; musculature; respiratory; ear	immune system disorder			hereditary disease		
MONDO:0011988	neutrophil immunodeficiency syndrome	Abnormality of the integument; Abnormality of the digestive system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of the genitourinary system; Abnormality of the immune system	immune_system; blood; integument; digestive_system; prenatal_or_birth; genitourinary_system	immune system disorder; hematologic disorder			hereditary disease		
MONDO:0033554	immunodeficiency 73b with defective neutrophil chemotaxis and lymphopenia	Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; blood; digestive_system; respiratory; head_neck; metabolism_homeostasis; musculature; ear; skeletal_system; endocrine; connective_tissue	immune system disorder			hereditary disease		
MONDO:0026767	immunodeficiency 74, COVID-19-related, X-linked	Abnormality of the immune system	immune_system	immune system disorder			hereditary disease		
MONDO:0030858	immunodeficiency 75	Abnormality of the nervous system; Abnormality of the respiratory system; Abnormality of the digestive system; Neoplasm; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; digestive_system; blood; metabolism_homeostasis; respiratory; nervous_system; neoplasm; endocrine	immune system disorder			hereditary disease		
MONDO:0030898	immunodeficiency 76	Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; digestive_system; blood; respiratory; neoplasm; growth	immune system disorder			hereditary disease		
