# mapping_set_id: https://w3id.org/monarch-initiative/medic/mappings/diseases_grounding
# mapping_tool: medic-lexical-grounder
# license: https://creativecommons.org/licenses/by/4.0/
# comment: The grounding decisions in this file are MeDIC's own contribution and are offered as https://creativecommons.org/publicdomain/zero/1.0/. The set is declared https://creativecommons.org/licenses/by/4.0/ because subject_label and match_string reproduce verbatim source strings. MeDIC grants no rights over upstream source content. The original licence of each contributing source remains in force and must be respected; parsing, translation, normalisation and mapping to ontology identifiers do not alter it. Where terms conflict, the stricter governs.
subject_type	subject_label	subject_id	predicate_id	object_id	object_label	object_match_field	mapping_justification	subject_preprocessing	match_string	confidence	mapping_tool
rdfs literal	3rd degree AV block	MEDICNE:eb6468f5-03dd-5cfd-ba54-e86404004a45	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		3rd degree av block	0.0000	medic-lexical-grounder
rdfs literal	3β-Hydroxy-Δ5-C27-steroid oxidoreductase deficiency	MEDICNE:3c9af226-e6ad-5897-b99f-257aa0189cc0	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		3β-hydroxy-δ5-c27-steroid oxidoreductase deficiency	0.0000	medic-lexical-grounder
rdfs literal	5q spinal muscular atrophy	MEDICNE:844f8258-8ad6-599e-b802-6d05b6ee25b4	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		5q spinal muscular atrophy	0.0000	medic-lexical-grounder
rdfs literal	5q-syndrome	MEDICNE:e657191c-190a-5439-bdca-80eb3c3977e9	skos:exactMatch	UMLS:C0740302	5q- syndrome	oio:hasExactSynonym	semapv:LexicalMatching		5q-syndrome	0.9500	medic-lexical-grounder
rdfs literal	A high risk of arterial or venous thrombotic diseases	MEDICNE:63152ac7-8f4b-5509-8183-b7391cf82117	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		a high risk of arterial or venous thrombotic diseases	0.0000	medic-lexical-grounder
rdfs literal	a history of angioedema	MEDICNE:c5c586f8-435d-5eb7-a060-e0a346054293	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		a history of angioedema	0.0000	medic-lexical-grounder
rdfs literal	a history of angioedema related to previous ACE inhibitor treatment	MEDICNE:759e7388-10ff-54f6-b028-37d731c7815f	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		a history of angioedema related to previous ace inhibitor treatment	0.0000	medic-lexical-grounder
rdfs literal	a history of angioedema related to previous treatment with an angiotensin converting enzyme inhibitor	MEDICNE:23788340-d40d-569a-9545-5cfd632ef151	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		a history of angioedema related to previous treatment with an angiotensin converting enzyme inhibitor	0.0000	medic-lexical-grounder
rdfs literal	A history of prior acute hepatotoxicity attributable to phenytoin	MEDICNE:f842d2a7-db74-5219-bd2f-57c85740e1d0	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		a history of prior acute hepatotoxicity attributable to phenytoin	0.0000	medic-lexical-grounder
rdfs literal	A history of seizures	MEDICNE:06d162ed-4321-5c99-80ea-fa8ac4123c24	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		a history of seizures	0.0000	medic-lexical-grounder
