# mapping_set_id: https://w3id.org/monarch-initiative/medic/mappings/diseases_normalization
subject_id	predicate_id	object_id	object_label	mapping_justification	mapping_tool	comment
HP:0000010	skos:exactMatch	HP:0000010	Recurrent urinary tract infections	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000011	skos:exactMatch	HP:0000011	Neurogenic bladder	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000012	skos:exactMatch	HP:0000012	Urinary urgency	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000016	skos:exactMatch	HP:0000016	Urinary retention	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000017	skos:exactMatch	HP:0000017	Nocturia	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000020	skos:exactMatch	HP:0000020	Urinary incontinence	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000024	skos:exactMatch	HP:0000024	Prostatitis	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000028	skos:exactMatch	HP:0000028	Cryptorchidism	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000031	skos:exactMatch	HP:0000031	Epididymitis	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000044	skos:exactMatch	HP:0000044	Hypogonadotropic hypogonadism	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000083	skos:exactMatch	HP:0000083	Renal insufficiency	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000093	skos:exactMatch	HP:0000093	Proteinuria	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000100	skos:exactMatch	HP:0000100	Nephrotic syndrome	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000103	skos:exactMatch	HP:0000103	Polyuria	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000132	skos:exactMatch	HP:0000132	Menorrhagia	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000134	skos:exactMatch	HP:0000134	Female hypogonadism	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000135	skos:exactMatch	HP:0000135	Hypogonadism	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000138	skos:exactMatch	HP:0000138	Ovarian cyst	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000155	skos:exactMatch	HP:0000155	Oral ulcer	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000217	skos:exactMatch	HP:0000217	Xerostomia	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000225	skos:exactMatch	HP:0000225	Gingival bleeding	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000246	skos:exactMatch	HP:0000246	Sinusitis	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000255	skos:exactMatch	HP:0000255	Acute sinusitis	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000365	skos:exactMatch	HP:0000365	Hearing impairment	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000371	skos:exactMatch	HP:0000371	Acute otitis media	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000388	skos:exactMatch	HP:0000388	Otitis media	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000421	skos:exactMatch	HP:0000421	Epistaxis	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000491	skos:exactMatch	HP:0000491	Keratitis	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000495	skos:exactMatch	HP:0000495	Recurrent corneal erosions	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000501	skos:exactMatch	HP:0000501	Glaucoma	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000505	skos:exactMatch	HP:0000505	Visual impairment	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000545	skos:exactMatch	HP:0000545	Myopia	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000572	skos:exactMatch	HP:0000572	Visual loss	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000573	skos:exactMatch	HP:0000573	Retinal hemorrhage	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000613	skos:exactMatch	HP:0000613	Photophobia	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000616	skos:exactMatch	HP:0000616	Miosis	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000708	skos:exactMatch	HP:0000708	Atypical behavior	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000709	skos:exactMatch	HP:0000709	Psychosis	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000713	skos:exactMatch	HP:0000713	Agitation	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000716	skos:exactMatch	HP:0000716	Depression	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000717	skos:exactMatch	HP:0000717	Autism	semapv:UnspecifiedMatching	medic-normalizer/0	identity
HP:0000718	skos:exactMatch	HP:0000718	Aggressive behavior	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000737	skos:exactMatch	HP:0000737	Irritability	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000752	skos:exactMatch	HP:0000752	Hyperactivity	semapv:UnspecifiedMatching	medic-normalizer/1	identity
HP:0000789	skos:exactMatch	HP:0000789	Infertility	semapv:UnspecifiedMatching	medic-normalizer/1	identity
