# mapping_set_id: https://w3id.org/monarch-initiative/medic/mappings/drugs_normalization
# license: https://creativecommons.org/licenses/by/4.0/
# comment: The mapping decisions in this file are MeDIC's own contribution and are offered as https://creativecommons.org/publicdomain/zero/1.0/. The set is declared https://creativecommons.org/licenses/by/4.0/ because object_label reproduces canonical labels from Mondo and ChEBI, which require attribution. MeDIC grants no rights over upstream source content. The original licence of each contributing source remains in force and must be respected; parsing, translation, normalisation and mapping to ontology identifiers do not alter it. Where terms conflict, the stricter governs.
subject_id	predicate_id	object_id	object_label	mapping_justification	mapping_tool	comment
CHEBI:100147	skos:exactMatch	CHEBI:100147	nalidixic acid	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10023	skos:exactMatch	CHEBI:10023	voriconazole	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:100241	skos:exactMatch	CHEBI:100241	ciprofloxacin	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:100246	skos:exactMatch	CHEBI:100246	norfloxacin	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10033	skos:exactMatch	CHEBI:10033	warfarin	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10034	skos:exactMatch	CHEBI:10034	warfarin sodium	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10056	skos:exactMatch	CHEBI:10056	xanomeline	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10082	skos:exactMatch	CHEBI:10082	Xylometazoline	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10100	skos:exactMatch	CHEBI:10100	zafirlukast	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10101	skos:exactMatch	CHEBI:10101	zalcitabine	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10102	skos:exactMatch	CHEBI:10102	zaleplon	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:101085	skos:exactMatch	CHEBI:101085	diclofenamide	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:101096	skos:exactMatch	CHEBI:101096	ethoxzolamide	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10110	skos:exactMatch	CHEBI:10110	zidovudine	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10112	skos:exactMatch	CHEBI:10112	zileuton	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10119	skos:exactMatch	CHEBI:10119	ziprasidone	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10124	skos:exactMatch	CHEBI:10124	zolmitriptan	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10125	skos:exactMatch	CHEBI:10125	zolpidem	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10126	skos:exactMatch	CHEBI:10126	zolpidem tartrate	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10127	skos:exactMatch	CHEBI:10127	zonisamide	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:101278	skos:exactMatch	CHEBI:101278	diltiazem	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:101853	skos:exactMatch	CHEBI:101853	gemifloxacin	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:102166	skos:exactMatch	CHEBI:102166	thiopental	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:102216	skos:exactMatch	CHEBI:102216	methohexital	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:102265	skos:exactMatch	CHEBI:102265	sulfamethazine	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:102484	skos:exactMatch	CHEBI:102484	sulfisoxazole	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:102516	skos:exactMatch	CHEBI:102516	sulfamethoxypyridazine	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:102524	skos:exactMatch	CHEBI:102524	butalbital	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:103855	skos:exactMatch	CHEBI:103855	4-(2-aminopropyl)phenol	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:104017	skos:exactMatch	CHEBI:104017	N'-[(4-methoxyphenyl)methyl]-N,N-dimethyl-N'-(2-pyrimidinyl)ethane-1,2-diamine	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10454	skos:exactMatch	CHEBI:10454	cis-flupenthixol	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:10650	skos:exactMatch	CHEBI:10650	sumatriptan	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:107668	skos:exactMatch	CHEBI:107668	4-amino-N-(5-ethyl-1,3,4-thiadiazol-2-yl)benzenesulfonamide	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:107736	skos:exactMatch	CHEBI:107736	metoclopramide	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:109549	skos:exactMatch	CHEBI:109549	N-[2-[(8S)-2,6,7,8-tetrahydro-1H-cyclopenta[e]benzofuran-8-yl]ethyl]propanamide	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:110423	skos:exactMatch	CHEBI:110423	clodronic acid	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:113451	skos:exactMatch	CHEBI:113451	sodium ascorbate	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:113455	skos:exactMatch	CHEBI:113455	sodium benzoate	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:114203	skos:exactMatch	CHEBI:114203	4-amino-2-hydroxybenzoic acid phenyl ester	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:114769	skos:exactMatch	CHEBI:114769	4-nitro-N-[1-(2-oxo-1-benzopyran-3-yl)ethylideneamino]benzamide	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:114785	skos:exactMatch	CHEBI:114785	erlotinib	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:115156	skos:exactMatch	CHEBI:115156	disodium fumarate	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:116278	skos:exactMatch	CHEBI:116278	lomefloxacin	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:116735	skos:exactMatch	CHEBI:116735	benzocaine	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:119486	skos:exactMatch	CHEBI:119486	efavirenz	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:119915	skos:exactMatch	CHEBI:119915	fentanyl	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:125354	skos:exactMatch	CHEBI:125354	plerixafor	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:125612	skos:exactMatch	CHEBI:125612	2,3,5,6,7,8-hexahydro-1H-cyclopenta[b]quinolin-9-amine	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:127342	skos:exactMatch	CHEBI:127342	atomoxetine	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:12777	skos:exactMatch	CHEBI:12777	vitamin A	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:127780	skos:exactMatch	CHEBI:127780	phosphonoformic acid	semapv:UnspecifiedMatching	medic-normalizer/1	identity
CHEBI:128458	skos:exactMatch	CHEBI:128458	disodium cromoglycate	semapv:UnspecifiedMatching	medic-normalizer/1	identity
