# mapping_set_id: https://w3id.org/monarch-initiative/medic/mappings/drugs_grounding
# mapping_tool: medic-lexical-grounder
# license: https://creativecommons.org/licenses/by/4.0/
# comment: The grounding decisions in this file are MeDIC's own contribution and are offered as https://creativecommons.org/publicdomain/zero/1.0/. The set is declared https://creativecommons.org/licenses/by/4.0/ because subject_label and match_string reproduce verbatim source strings. MeDIC grants no rights over upstream source content. The original licence of each contributing source remains in force and must be respected; parsing, translation, normalisation and mapping to ontology identifiers do not alter it. Where terms conflict, the stricter governs.
subject_type	subject_label	subject_id	predicate_id	object_id	object_label	object_match_field	mapping_justification	subject_preprocessing	match_string	confidence	mapping_tool
rdfs literal	"""Golden Star"" Balm"	MEDICNE:8c8b01ed-e283-52b5-8ba5-bc912245d846	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		"""golden star"" balm"	0.0000	medic-lexical-grounder
rdfs literal	"""KK"" Cat's Claw® Supplement"	MEDICNE:17cb7e44-dc1a-58dd-bb2a-49ec716d2063	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		"""kk"" cat's claw® supplement"	0.0000	medic-lexical-grounder
rdfs literal	"""Pervoprestolny"" Balm"	MEDICNE:34bac637-4fd7-5aaf-83eb-c2a237c54377	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		"""pervoprestolny"" balm"	0.0000	medic-lexical-grounder
rdfs literal	"""Pervoprestolny""® Balm"	MEDICNE:f3905488-2a18-55ff-b303-6103bbaa888b	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		"""pervoprestolny""® balm"	0.0000	medic-lexical-grounder
rdfs literal	(2S)-2-Acetamidopentadienoic acid	MEDICNE:4e0a2ec7-6b62-5f00-b93f-715cc58a112d	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(2s)-2-acetamidopentadienoic acid	0.0000	medic-lexical-grounder
rdfs literal	(2S)-2-Hydroxybutanedioic acid	MEDICNE:25136e41-a016-5ef8-9cb0-1102803eaa33	skos:exactMatch	CHEBI:30797	(S)-malic acid	oio:hasExactSynonym	semapv:LexicalMatching		(2s)-2-hydroxybutanedioic acid	0.8550	medic-lexical-grounder
rdfs literal	(2S)-2-Ацетамидопентадиовая кислота	MEDICNE:4e0a2ec7-6b62-5f00-b93f-715cc58a112d	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(2s)-2-ацетамидопентадиовая кислота	0.0000	medic-lexical-grounder
rdfs literal	(2S)-2-гидроксибутандиовая кислота	MEDICNE:25136e41-a016-5ef8-9cb0-1102803eaa33	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(2s)-2-гидроксибутандиовая кислота	0.0000	medic-lexical-grounder
rdfs literal	(3-oxandrost-4-ven-17beta-il) Propionate	MEDICNE:6d7e8094-d59d-57db-8602-4dc18403f3db	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(3-oxandrost-4-ven-17beta-il) propionate	0.0000	medic-lexical-grounder
rdfs literal	(3-Oxoandrost-4-en-17beta-yl)propionate	MEDICNE:1f2f59d9-9362-5c43-a25e-dc8b041214ef	skos:closeMatch	CHEBI:17272	propionate	rdfs:label	semapv:LexicalMatching	formulation_strip	propionate	0.8000	medic-lexical-grounder
rdfs literal	(3-Оксоандрост-4-ен-17бета-ил)пропионат	MEDICNE:1f2f59d9-9362-5c43-a25e-dc8b041214ef	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(3-оксоандрост-4-ен-17бета-ил)пропионат	0.0000	medic-lexical-grounder
rdfs literal	(Calendula officinalis flowers + Chamomilla recutita flowers + Achillea millefolium herb) extract	MEDICNE:9d832a8a-38d1-57db-840e-ff6ca9cb5d5b	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(calendula officinalis flowers + chamomilla recutita flowers + achillea millefolium herb) extract	0.0000	medic-lexical-grounder
rdfs literal	(Goldenrod herb + Lovage rhizomes and roots + Rosemary leaves) extract	MEDICNE:963c3e3e-846e-5621-ae97-2e233c06a292	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(goldenrod herb + lovage rhizomes and roots + rosemary leaves) extract	0.0000	medic-lexical-grounder
rdfs literal	(MATSUURA	MEDICNE:c36ac473-61ac-5e9f-8ec4-f4593ba0f600	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(matsuura	0.0000	medic-lexical-grounder
rdfs literal	(Primrose of spring roots+thyme of ordinary grass) extract	MEDICNE:e20dfe84-e880-5aea-a2dc-03b5be861455	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(primrose of spring roots+thyme of ordinary grass) extract	0.0000	medic-lexical-grounder
rdfs literal	(Spring primrose roots + common thyme herb) extract	MEDICNE:49082be5-9736-5e9d-9224-f92c08ddf21b	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(spring primrose roots + common thyme herb) extract	0.0000	medic-lexical-grounder
rdfs literal	(YEAST ORIGIN)	MEDICNE:da5a56c5-80d3-5162-bb90-a5611a0e6b97	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(yeast origin)	0.0000	medic-lexical-grounder
rdfs literal	(Золототысячника травы+Любистока лекарственного корневищ и корней+Розмарина лекарственного листьев) экстракт	MEDICNE:963c3e3e-846e-5621-ae97-2e233c06a292	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(золототысячника травы+любистока лекарственного корневищ и корнеи+розмарина лекарственного листьев) экстракт	0.0000	medic-lexical-grounder
rdfs literal	(Календулы лекарственной цветков+Ромашки аптечной цветков+Тысячелистника обыкновенного травы) экстракт	MEDICNE:9d832a8a-38d1-57db-840e-ff6ca9cb5d5b	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(календулы лекарственнои цветков+ромашки аптечнои цветков+тысячелистника обыкновенного травы) экстракт	0.0000	medic-lexical-grounder
rdfs literal	(Первоцвета весеннего корней+Тимьяна обыкновенного травы) экстракт	MEDICNE:49082be5-9736-5e9d-9224-f92c08ddf21b	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		(первоцвета весеннего корнеи+тимьяна обыкновенного травы) экстракт	0.0000	medic-lexical-grounder
rdfs literal	[1] - [3] PREDNISOLONE SODIUM SUCCINATE [4] - [6] PREDNISOLONE	MEDICNE:c9aabbae-6a03-56fa-a180-9d2d9d638805	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		- prednisolone sodium succinate - prednisolone	0.0000	medic-lexical-grounder
rdfs literal	[D,L]-Gopantenic acid	MEDICNE:17b2718e-89fd-50bc-b2be-a0e8968bc4b4	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		-gopantenic acid	0.0000	medic-lexical-grounder
rdfs literal	.ALPHA.-KETOGLUTARIC ACID	MEDICNE:40318bb1-247b-5ad9-903d-9856f29cdf27	skos:closeMatch	CHEBI:30915	2-oxoglutaric acid	oio:hasRelatedSynonym	semapv:LexicalMatching	formulation_strip|fuzzy_edit1_unique	alpha-ketoglutaric acid	0.6000	medic-lexical-grounder
rdfs literal	.ALPHA.-LIPOIC ACID	MEDICNE:16a86089-2d5a-53a9-aafc-f0208c93227f	skos:closeMatch	CHEBI:748116	lipoic acid, alpha	oio:hasRelatedSynonym	semapv:LexicalMatching		.alpha.-lipoic acid	0.7650	medic-lexical-grounder
rdfs literal	.ALPHA.-TOCOPHEROL	MEDICNE:47c19132-7176-5b09-ad98-f22d3b33b665	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		.alpha.-tocopherol	0.0000	medic-lexical-grounder
rdfs literal	.ALPHA.1-PROTEINASE INHIBITOR HUMAN	MEDICNE:819a73d8-5edf-5e94-8513-ec4e0db85690	skos:exactMatch	CHEBI:757317	.alpha.1-proteinase inhibitor human	rdfs:label	semapv:LexicalMatching		.alpha.1-proteinase inhibitor human	0.9000	medic-lexical-grounder
rdfs literal	.GAMMA.-AMINOBUTYRIC ACID	MEDICNE:6e516b75-9a7c-5ac2-9e7a-192a1f4a3c22	skos:closeMatch	CHEBI:16865	gamma-aminobutyric acid	rdfs:label	semapv:LexicalMatching	formulation_strip|fuzzy_edit1_unique	gamma-aminobutyric acid	0.6000	medic-lexical-grounder
rdfs literal	000 AU	MEDICNE:2fd3ab40-f7e1-5fa9-ba48-e71489d24bf7	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		000 au	0.0000	medic-lexical-grounder
rdfs literal	000 JAU	MEDICNE:f8d02335-c8fd-5a36-99e8-af94d9470fe2	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		000 jau	0.0000	medic-lexical-grounder
rdfs literal	1,2-HEXANEDIOL	MEDICNE:9b4bbd48-6e37-59d4-b6fd-a97574799379	skos:exactMatch	DRON:00841124	1,2-hexanediol	rdfs:label	semapv:LexicalMatching		1,2-hexanediol	0.9000	medic-lexical-grounder
rdfs literal	1,3-Diethylbenzimidazolium triiodide	MEDICNE:2a2338e3-23c5-58e3-b655-70f42ae05fa4	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1,3-diethylbenzimidazolium triiodide	0.0000	medic-lexical-grounder
rdfs literal	1,3-dietilbenzimidazoli triiodide	MEDICNE:8d44c0ad-9275-5b4f-a2a4-4dfc4c381a5d	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1,3-dietilbenzimidazoli triiodide	0.0000	medic-lexical-grounder
rdfs literal	1,3-Диэтилбензимидазолия трийодид	MEDICNE:2a2338e3-23c5-58e3-b655-70f42ae05fa4	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1,3-диэтилбензимидазолия трииодид	0.0000	medic-lexical-grounder
rdfs literal	1,4-dimethyl-7-(2-propyl)azulene	MEDICNE:22491a99-8b77-547b-9bb2-2e2cb974bbac	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1,4-dimethyl-7-(2-propyl)azulene	0.0000	medic-lexical-grounder
rdfs literal	1,4-Dioxo-2,2,3,3-tetrahydroxy-1,2,3,4-tetrahydronaphthalene	MEDICNE:0cb79ad6-44e5-528f-a987-53b72b4a9d78	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1,4-dioxo-2,2,3,3-tetrahydroxy-1,2,3,4-tetrahydronaphthalene	0.0000	medic-lexical-grounder
rdfs literal	1,4-диметил-7-(2-пропил)азулен	MEDICNE:22491a99-8b77-547b-9bb2-2e2cb974bbac	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1,4-диметил-7-(2-пропил)азулен	0.0000	medic-lexical-grounder
rdfs literal	1,4-Диоксо-2,2,3,3-тетрагидрокси-1,2,3,4-тетрагидронафталин	MEDICNE:0cb79ad6-44e5-528f-a987-53b72b4a9d78	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1,4-диоксо-2,2,3,3-тетрагидрокси-1,2,3,4-тетрагидронафталин	0.0000	medic-lexical-grounder
rdfs literal	1-(3-Indolyl)-2-methylaminoethanol	MEDICNE:48ce4bc2-b8a1-51cf-907c-e68ef7f98e00	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1-(3-indolyl)-2-methylaminoethanol	0.0000	medic-lexical-grounder
rdfs literal	1-(4-bromophenyl)violuric acid	MEDICNE:e2f2b76b-5f64-58a7-bed8-23fcf4fa1263	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1-(4-bromophenyl)violuric acid	0.0000	medic-lexical-grounder
rdfs literal	1-(4-бромфенил)виолуровая кислота	MEDICNE:e2f2b76b-5f64-58a7-bed8-23fcf4fa1263	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1-(4-бромфенил)виолуровая кислота	0.0000	medic-lexical-grounder
rdfs literal	1-(Индолил-3)-2-метил-аминоэтанол	MEDICNE:48ce4bc2-b8a1-51cf-907c-e68ef7f98e00	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1-(индолил-3)-2-метил-аминоэтанол	0.0000	medic-lexical-grounder
rdfs literal	1-Acetamido-5-nitro-2-propoxybenzene	MEDICNE:8ff0e060-3854-5394-9470-a8788c438b54	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1-acetamido-5-nitro-2-propoxybenzene	0.0000	medic-lexical-grounder
rdfs literal	1-Chloromethyl-2,8,9-trioxa-5-aza-1-silabicyclo[3.3.3]undecane	MEDICNE:f6c45271-0ff5-58bc-b314-f3491fd23413	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1-chloromethyl-2,8,9-trioxa-5-aza-1-silabicycloundecane	0.0000	medic-lexical-grounder
rdfs literal	1-[2-(1-Methylimidazol-4-yl)ethyl]perhydroazine-2,6-dione	MEDICNE:fbee5e08-c7cd-510f-acd5-56ccafbbb59d	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1-perhydroazine-2,6-dione	0.0000	medic-lexical-grounder
rdfs literal	1-ацетиламино-5-нитро-2-пропоксибензол	MEDICNE:8ff0e060-3854-5394-9470-a8788c438b54	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1-ацетиламино-5-нитро-2-пропоксибензол	0.0000	medic-lexical-grounder
rdfs literal	1-[2-(1-Метилимидазол-4-ил)-этил]пергидроазин-2,6-дион	MEDICNE:fbee5e08-c7cd-510f-acd5-56ccafbbb59d	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1-пергидроазин-2,6-дион	0.0000	medic-lexical-grounder
