# mapping_set_id: https://w3id.org/monarch-initiative/medic/mappings/drugs_grounding
# mapping_tool: medic-lexical-grounder
# license: https://creativecommons.org/licenses/by/4.0/
# comment: The grounding decisions in this file are MeDIC's own contribution and are offered as https://creativecommons.org/publicdomain/zero/1.0/. The set is declared https://creativecommons.org/licenses/by/4.0/ because subject_label and match_string reproduce verbatim source strings. MeDIC grants no rights over upstream source content. The original licence of each contributing source remains in force and must be respected; parsing, translation, normalisation and mapping to ontology identifiers do not alter it. Where terms conflict, the stricter governs.
subject_type	subject_label	subject_id	predicate_id	object_id	object_label	object_match_field	mapping_justification	subject_preprocessing	match_string	confidence	mapping_tool
rdfs literal	1-Хлорметил-2,8,9-триокса-5-аза-1-силабицикло[3.3.3]ундекан	MEDICNE:f6c45271-0ff5-58bc-b314-f3491fd23413	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		1-хлорметил-2,8,9-триокса-5-аза-1-силабициклоундекан	0.0000	medic-lexical-grounder
rdfs literal	10% Fat Emulsion (OO)/5.5% Amino Acids (15)/Glucose (20%) Injection	MEDICNE:ba1dfcd5-be0f-538e-9153-bc1a44aaf69d	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		10% fat emulsion (oo)/5.5% amino acids (15)/glucose (20%) injection	0.0000	medic-lexical-grounder
rdfs literal	11	MEDICNE:25426152-a049-5260-b370-c8c250307220	skos:closeMatch	CHEBI:754971	aftobetin	oio:hasRelatedSynonym	semapv:LexicalMatching		11	0.8500	medic-lexical-grounder
rdfs literal	13C-urea	MEDICNE:14bff7ec-fec3-5cc7-82a6-f87cce7fd207	skos:closeMatch	CHEBI:134711	UREA C 14	oio:hasRelatedSynonym	semapv:LexicalMatching	fuzzy_edit1_unique	14c-urea	0.6000	medic-lexical-grounder
rdfs literal	14	MEDICNE:9d01cde1-a4fe-5ee2-8170-f6590f737200	skos:closeMatch	CHEBI:28875	tetradecanoic acid	oio:hasRelatedSynonym	semapv:LexicalMatching		14	0.8500	medic-lexical-grounder
rdfs literal	16	MEDICNE:e7b2f537-a81a-565d-9797-725b51421afd	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		16	0.0000	medic-lexical-grounder
rdfs literal	18	MEDICNE:2f8ef316-aedd-57ef-b0b9-ce10b4c75935	skos:closeMatch	CHEBI:59704	sexipyridine	oio:hasRelatedSynonym	semapv:LexicalMatching		18	0.7650	medic-lexical-grounder
rdfs literal	18C	MEDICNE:7200853e-8b68-5f4d-94e1-1d1b012b7b82	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		18c	0.0000	medic-lexical-grounder
rdfs literal	19A	MEDICNE:c4cc16fa-72a6-5f66-b80f-26b0f3da78f6	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		19a	0.0000	medic-lexical-grounder
rdfs literal	19F	MEDICNE:2c793a21-b025-56f3-859c-75428835398c	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		19f	0.0000	medic-lexical-grounder
rdfs literal	2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN	MEDICNE:90d019d7-a634-58ed-a535-28bac91cd84c	skos:closeMatch	CHEBI:28119	2,3,7,8-tetrachlorodibenzodioxine	oio:hasRelatedSynonym	semapv:LexicalMatching		2,3,7,8-tetrachlorodibenzo-p-dioxin	0.7650	medic-lexical-grounder
rdfs literal	2,3-Di(hydroxymethyl)quinoxaline-1,4-dioxide	MEDICNE:e8623b26-7901-5f21-be0f-bb1cbde6b32b	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2,3-di(hydroxymethyl)quinoxaline-1,4-dioxide	0.0000	medic-lexical-grounder
rdfs literal	2,3-Ди(гидроксиметил)хиноксалин-1,4-диоксид	MEDICNE:e8623b26-7901-5f21-be0f-bb1cbde6b32b	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2,3-ди(гидроксиметил)хиноксалин-1,4-диоксид	0.0000	medic-lexical-grounder
rdfs literal	2,8-dimethyl-5-(2-phenylethyl)-2,3,4,5-tetrahydro-1H-pyrido[4,3-b]indole hydrochloride	MEDICNE:f252c795-5af4-5605-bfb9-02f001a4a0ea	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2,8-dimethyl-5-(2-phenylethyl)-2,3,4,5-tetrahydro-1h-pyridoindole hydrochloride	0.0000	medic-lexical-grounder
rdfs literal	2,8-диметил-5-(2-фенилэтил)-2,3,4,5-тетрагидро-1H-пиридо[4,3-b]индола гидрохлорид	MEDICNE:f252c795-5af4-5605-bfb9-02f001a4a0ea	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2,8-диметил-5-(2-фенилэтил)-2,3,4,5-тетрагидро-1h-пиридоиндола гидрохлорид	0.0000	medic-lexical-grounder
rdfs literal	2- (4-phenyl-2-oxso-1-pyrrolidinyl) acetamide	MEDICNE:6fbe780e-b251-517a-8e4f-0810f9171fb6	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2- (4-phenyl-2-oxso-1-pyrrolidinyl) acetamide	0.0000	medic-lexical-grounder
rdfs literal	2-(4-Phenyl-2-oxo-1-pyrrolidinyl)acetamide	MEDICNE:81682fba-a9ae-5042-98fc-1efc456a2bd6	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2-(4-phenyl-2-oxo-1-pyrrolidinyl)acetamide	0.0000	medic-lexical-grounder
rdfs literal	2-(4-Фенил-2-оксо-1-пирролидинил)ацетамид	MEDICNE:81682fba-a9ae-5042-98fc-1efc456a2bd6	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2-(4-фенил-2-оксо-1-пирролидинил)ацетамид	0.0000	medic-lexical-grounder
rdfs literal	2-(Dimethylamino)ethanol	MEDICNE:1860c0c6-891f-578d-afc8-337c76b971c3	skos:exactMatch	CHEBI:271436	N,N-dimethylethanolamine	oio:hasExactSynonym	semapv:LexicalMatching		2-(dimethylamino)ethanol	0.8550	medic-lexical-grounder
rdfs literal	2-(Диметиламино)этанол	MEDICNE:1860c0c6-891f-578d-afc8-337c76b971c3	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2-(диметиламино)этанол	0.0000	medic-lexical-grounder
rdfs literal	2-Deoxy-D-Glucose bulk and 2-Deoxy-D-Glucose 2.34g & 5.85g sachet	MEDICNE:1c75f78e-0bfe-5a34-9857-3e09c239d755	skos:closeMatch	CHEBI:15866	2-deoxy-D-glucose	rdfs:label	semapv:LexicalMatching	formulation_strip|combination_split	2-deoxy-d-glucose	0.8000	medic-lexical-grounder
rdfs literal	2-ethyl-6-methyl-3-hydroxypyridine succinate	MEDICNE:86091da4-50f0-50a0-b168-f91be29351bd	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2-ethyl-6-methyl-3-hydroxypyridine succinate	0.0000	medic-lexical-grounder
rdfs literal	2-hydroxybutanedioic acid	MEDICNE:bff1bba8-fd95-5c52-80db-0edd2e63ee69	skos:exactMatch	CHEBI:6650	malic acid	oio:hasExactSynonym	semapv:LexicalMatching		2-hydroxybutanedioic acid	0.9500	medic-lexical-grounder
rdfs literal	2-MERCAPTOETHANESULFONIC ACID	MEDICNE:1d29643f-4ab2-54a6-b3e0-ebf69b391eed	skos:closeMatch	CHEBI:17905	coenzyme M	oio:hasRelatedSynonym	semapv:LexicalMatching		2-mercaptoethanesulfonic acid	0.7650	medic-lexical-grounder
rdfs literal	2-phenoxyethanol	MEDICNE:6c0778f2-ac37-55bb-90ab-8f15c388b012	skos:exactMatch	CHEBI:64275	2-phenoxyethanol	rdfs:label	semapv:LexicalMatching		2-phenoxyethanol	1.0000	medic-lexical-grounder
rdfs literal	2-Thymyl-oxy-methyl glyoxalidine Hydrochloride 0.05 + Buffered Aqueous Vehicle- q.s (Nasal Spray)	MEDICNE:6b9526b5-002d-530a-9b16-9e9968e17287	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2-thymyl-oxy-methyl glyoxalidine hydrochloride 0.05 + buffered aqueous vehicle- q.s (nasal spray)	0.0000	medic-lexical-grounder
rdfs literal	2-гидроксибутандиовая кислота	MEDICNE:bff1bba8-fd95-5c52-80db-0edd2e63ee69	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2-гидроксибутандиовая кислота	0.0000	medic-lexical-grounder
rdfs literal	2-феноксиэтанол	MEDICNE:6c0778f2-ac37-55bb-90ab-8f15c388b012	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2-феноксиэтанол	0.0000	medic-lexical-grounder
rdfs literal	2-этил-6-метил-3-гидроксипиридина сукцинат	MEDICNE:86091da4-50f0-50a0-b168-f91be29351bd	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		2-этил-6-метил-3-гидроксипиридина сукцинат	0.0000	medic-lexical-grounder
rdfs literal	22F	MEDICNE:bc393b92-142e-5306-88c2-c24c51e94603	skos:closeMatch	CHEBI:749610	ofatumumab	oio:hasRelatedSynonym	semapv:LexicalMatching	fuzzy_edit1_unique	2f2	0.6000	medic-lexical-grounder
rdfs literal	23F	MEDICNE:9a29c7b8-a2c1-5b09-a006-d453eaa8e82d	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		23f	0.0000	medic-lexical-grounder
rdfs literal	3	MEDICNE:bcb1bcef-7e80-5f32-89f0-e0ab3f456ebb	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		3	0.0000	medic-lexical-grounder
rdfs literal	3- IODOBENZYLGUANIDINE (123I)	MEDICNE:4e02f67e-0857-5bad-85a5-eb0d12efbb42	skos:closeMatch	CHEBI:135134	iobenguane (123I)	oio:hasRelatedSynonym	semapv:LexicalMatching	fuzzy_edit1_unique	3-iodobenzylguanidine (123i)	0.6000	medic-lexical-grounder
rdfs literal	3-IODOBENZYLGUANIDINE (123I) INJECTION	MEDICNE:7898ecce-065a-59cd-a523-87eccaff55a5	skos:closeMatch	DRON:00965862	3-iodobenzylguanidine	rdfs:label	semapv:LexicalMatching	formulation_strip	3-iodobenzylguanidine	0.8000	medic-lexical-grounder
rdfs literal	3-IODOBENZYLGUANIDINE (131I)	MEDICNE:2be0e82b-145d-5c8e-b590-a7fc653eed2e	skos:closeMatch	CHEBI:135997	iobenguane (131I)	oio:hasRelatedSynonym	semapv:LexicalMatching		3-iodobenzylguanidine (131i)	0.7650	medic-lexical-grounder
rdfs literal	31	MEDICNE:2fab696f-00ae-5512-bed0-ee5d0702aa40	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		31	0.0000	medic-lexical-grounder
rdfs literal	33	MEDICNE:ee6294ce-3c5e-5761-968d-d3d969d94776	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		33	0.0000	medic-lexical-grounder
rdfs literal	33F CONJUGATED TO CRM197 CARRIER PROTEIN	MEDICNE:5a04b182-e2c2-59ad-9851-81cb99dc8db3	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		33f conjugated to crm197 carrier protein	0.0000	medic-lexical-grounder
rdfs literal	4	MEDICNE:c74692c6-225d-5bcd-ad8a-2ea08f5a5b17	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		4	0.0000	medic-lexical-grounder
rdfs literal	4-HYDROXYCYCLOPHOSPHAMIDE	MEDICNE:de63637f-b080-508c-9c16-5e3254f325c7	skos:exactMatch	CHEBI:1864	4-hydroxycyclophosphamide	rdfs:label	semapv:LexicalMatching		4-hydroxycyclophosphamide	0.9000	medic-lexical-grounder
rdfs literal	4-Nitro-N-[(1RS)-1-(4-fluorophenyl)-2-(1-ethylpiperidin-4-yl)ethyl]benzamide hydrochloride	MEDICNE:bd5155a1-0c15-5a54-9acd-4b27d5f764ea	skos:closeMatch	CHEBI:114769	4-nitro-N-[1-(2-oxo-1-benzopyran-3-yl)ethylideneamino]benzamide	rdfs:label	semapv:LexicalMatching	salt_ester_strip	4-nitro-n-benzamide	0.9000	medic-lexical-grounder
rdfs literal	4-Нитро-N-[(1RS)-1-(4-фторфенил)-2-(1-этилпиперидин-4-ил)этил] бензамида гидрохлорид	MEDICNE:bd5155a1-0c15-5a54-9acd-4b27d5f764ea	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		4-нитро-n- бензамида гидрохлорид	0.0000	medic-lexical-grounder
rdfs literal	45	MEDICNE:dfe0b075-c28e-5df9-a14d-bd9dfd9891d8	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		45	0.0000	medic-lexical-grounder
rdfs literal	5	MEDICNE:b354e096-c19e-5e7b-a2a6-b958da889a16	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		5	0.0000	medic-lexical-grounder
rdfs literal	5-aminolevulinic acid hydrochloride	MEDICNE:79719884-7e6d-55a0-8cd3-294f2d8714ad	skos:exactMatch	CHEBI:132969	5-aminolevulinic acid hydrochloride	rdfs:label	semapv:LexicalMatching		5-aminolevulinic acid hydrochloride	1.0000	medic-lexical-grounder
rdfs literal	5-[[[2-[Benzyl(dimethyl)ammonio]ethyl]amino]carbonyl]-2-[(hydroxyimino)methyl]-1-methylpyridinium dichloride	MEDICNE:88325dde-4d51-5b81-8322-bae2a3a824df	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		5-ethyl]amino]carbonyl]-2--1-methylpyridinium dichloride	0.0000	medic-lexical-grounder
rdfs literal	5-Аминолевулиновой кислоты гидрохлорид	MEDICNE:c88935f8-faf8-58b6-8b47-07f652353d72	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		5-аминолевулиновои кислоты гидрохлорид	0.0000	medic-lexical-grounder
rdfs literal	5-[[[2-[Бензил(диметил)аммонио]этил]амино]карбонил]-2-[(гидроксиимино)метил]-1-метилпиридиния дихлорид	MEDICNE:88325dde-4d51-5b81-8322-bae2a3a824df	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		5-этил]амино]карбонил]-2--1-метилпиридиния дихлорид	0.0000	medic-lexical-grounder
rdfs literal	52	MEDICNE:79ad1496-896f-587f-ae25-fdc9314a95f8	skos:exactMatch	sssom:NoTermFound			semapv:LexicalMatching		52	0.0000	medic-lexical-grounder
